"time","NZL Wind Direction (Degs)","NZL Wind Speed (M/Sec)","NZL Lat","NZL Long","NZL time_time","NZL time diff","NZL_Lat_difference","NZL_Long_difference","NZL_Distance.to.next","NZL_Speed","Wind Direction (Degs) (#1)","Wind Speed (M/Sec) (#1)","USA Lat","USA Long","USA time_time (#1)","USA time diff","USA_Lat_difference","USA_Long_difference","USA_Distance.to.next","USA_Speed","Distance_NZL_USA"
"13:57:40",264.0,16.6,37.8120646,-122.4530521,"13:57:40",1.0,4.2100000001710214E-5,5.2299999993010715E-5,4.507699999412921E-9,4.507699999412921E-9,264.0,16.5,37.8230164,-122.4564236,"13:57:40",1.0,1.8199999999524152E-5,-2.1500000002561137E-5,7.93490000092808E-10,7.93490000092808E-10,0.01145901110436756
"13:57:41",263.9,16.7,37.8121067,-122.4529998,"13:57:41",1.0,4.7600000002034903E-5,4.3300000001522676E-5,4.140650000325586E-9,4.140650000325586E-9,263.9,16.7,37.8230346,-122.4564451,"13:57:41",1.0,1.720000000204891E-5,-2.3499999997511622E-5,8.480899999535287E-10,8.480899999535287E-10,0.011458145159664401
"13:57:42",263.9,16.8,37.8121543,-122.4529565,"13:57:42",1.0,4.829999999600432E-5,2.7200000005223046E-5,3.072729999898151E-9,3.072729999898151E-9,263.9,16.7,37.8230518,-122.4564686,"13:57:42",1.0,1.639999999980546E-5,-2.250000000003638E-5,7.752099999952562E-10,7.752099999952562E-10,0.011449469536180869
"13:57:43",263.8,16.8,37.8122026,-122.4529293,"13:57:43",1.0,5.469999999974107E-5,1.770000000078653E-5,3.3053799999995157E-9,3.3053799999995157E-9,263.8,16.8,37.8230682,-122.4564911,"13:57:43",1.0,1.619999999746824E-5,-2.390000000218606E-5,8.336500000224647E-10,8.336500000224647E-10,0.011434495292755748
"13:57:44",263.8,16.9,37.8122573,-122.4529116,"13:57:44",1.0,5.610000000189075E-5,3.5999999994373866E-6,3.160170000208091E-9,3.160170000208091E-9,263.8,16.9,37.8230844,-122.456515,"13:57:44",1.0,1.5300000001161607E-5,-2.43000000068605E-5,8.245800003689655E-10,8.245800003689655E-10,0.011410985319858465
"13:57:45",263.7,17.0,37.8123134,-122.452908,"13:57:45",1.0,5.029999999806023E-5,-1.190000000406144E-5,2.6716999999015214E-9,2.6716999999015214E-9,263.7,17.0,37.8230997,-122.4565393,"13:57:45",1.0,1.4999999997655777E-5,-2.0800000001486296E-5,6.576399999915032E-10,6.576399999915032E-10,0.01138115140836179
"13:57:46",263.7,17.1,37.8123637,-122.4529199,"13:57:46",1.0,4.040000000316013E-5,-2.27000000023736E-5,2.1474500003631E-9,2.1474500003631E-9,263.7,17.1,37.8231147,-122.4565601,"13:57:46",1.0,1.670000000331129E-5,-2.5399999998398926E-5,9.240500000292625E-10,9.240500000292625E-10,0.011350553160089965
"13:57:47",263.7,17.1,37.8124041,-122.4529426,"13:57:47",1.0,3.519999999923584E-5,-3.2000000004472895E-5,2.263040000232469E-9,2.263040000232469E-9,263.7,17.1,37.8231314,-122.4565855,"13:57:47",1.0,1.71000000008803E-5,-2.5100000001998524E-5,9.224200001304321E-10,9.224200001304321E-10,0.01132897549207353
"13:57:48",263.6,17.2,37.8124393,-122.4529746,"13:57:48",1.0,2.800000000036107E-5,-3.249999998899966E-5,1.8402499993051978E-9,1.8402499993051978E-9,263.6,17.2,37.8231485,-122.4566106,"13:57:48",1.0,1.699999999971169E-5,-2.529999999012489E-5,9.290899994905169E-10,9.290899994905169E-10,0.01130961805898059
"13:57:49",263.6,17.2,37.8124673,-122.4530071,"13:57:49",1.0,2.3999999996249244E-5,-3.52000000134467E-5,1.8150400007666111E-9,1.8150400007666111E-9,263.6,17.2,37.8231655,-122.4566359,"13:57:49",1.0,1.7899999996018323E-5,-2.849999999909869E-5,1.1326599998060813E-9,1.1326599998060813E-9,0.01129688774309164
"13:57:50",263.5,17.3,37.8124913,-122.4530423,"13:57:50",1.0,1.8900000000598993E-5,-3.5999999994373866E-5,1.6532099996175604E-9,1.6532099996175604E-9,263.5,17.2,37.8231834,-122.4566644,"13:57:50",1.0,1.5000000004761205E-5,-2.7900000006297887E-5,1.0034100004942582E-9,1.0034100004942582E-9,0.011288959687230052
"13:57:51",263.4,17.3,37.8125102,-122.4530783,"13:57:51",1.0,1.5400000002330216E-5,-3.1399999997461236E-5,1.2231199999123364E-9,1.2231199999123364E-9,263.4,17.3,37.8231984,-122.4566923,"13:57:51",1.0,1.4899999996487168E-5,-2.5800000003073364E-5,8.876500000539032E-10,8.876500000539032E-10,0.011282668799538547
"13:57:52",263.4,17.3,37.8125256,-122.4531097,"13:57:52",1.0,1.720000000204891E-5,-3.5900000000310683E-5,1.5846500000927895E-9,1.5846500000927895E-9,263.4,17.3,37.8232133,-122.4567181,"13:57:52",1.0,1.3600000002611523E-5,-2.599999999119973E-5,8.609599996134194E-10,8.609599996134194E-10,0.011280402557089717
"13:57:53",263.3,17.3,37.8125428,-122.4531456,"13:57:53",1.0,1.589999999396241E-5,-3.2500000003210516E-5,1.3090600000166882E-9,1.3090600000166882E-9,263.3,17.3,37.8232269,-122.4567441,"13:57:53",1.0,1.1799999995787402E-5,-2.6600000012422242E-5,8.46800000561446E-10,8.46800000561446E-10,0.011273827879648625
